time[ms],dim1,dim2,dim3,dim4
0.352463,-0.00046999999999997,-6.99999999991263E-05,9.99999999962142E-06,-4.99999999998835E-05
29.419558,-0.000449999999998951,-6.99999999991263E-05,-9.99999999962142E-06,-4.99999999998835E-05
66.282276,-0.000449999999998951,-1.99999999992428E-05,9.99999999962142E-06,-4.99999999998835E-05
96.973175,-0.000529999999999475,-9.99999999997669E-05,9.99999999962142E-06,-4.99999999998835E-05
127.731784,-0.00046999999999997,9.99999999962142E-06,9.99999999962142E-06,-4.99999999998835E-05
158.489157,-0.000420000000000087,4.0000000000262E-05,-9.99999999962142E-06,-2.99999999988643E-05
189.236636,-0.000370000000000204,5.99999999995049E-05,-9.99999999962142E-06,-2.99999999988643E-05
216.561510,-0.000389999999999446,5.99999999995049E-05,9.99999999962142E-06,-4.99999999998835E-05
249.978126,-0.000339999999999563,0.000130000000000408,9.99999999962142E-06,-4.99999999998835E-05
277.204681,-0.000339999999999563,0.000199999999999534,9.99999999962142E-06,-4.99999999998835E-05
306.835099,-0.00032000000000032,0.000270000000000437,9.99999999962142E-06,-4.99999999998835E-05
339.481860,-0.000289999999999679,0.000270000000000437,9.99999999962142E-06,-4.99999999998835E-05
374.296890,-0.00032000000000032,0.00032000000000032,9.99999999962142E-06,-2.99999999988643E-05
412.974794,-0.000289999999999679,0.00032000000000032,9.99999999962142E-06,-6.99999999991263E-05
433.272662,-0.000259999999999039,0.00032000000000032,9.99999999962142E-06,-4.99999999998835E-05
466.658051,-0.000259999999999039,0.000379999999999825,-9.99999999962142E-06,-4.99999999998835E-05
509.677437,-0.000259999999999039,0.000379999999999825,9.99999999962142E-06,-4.99999999998835E-05
537.907277,-0.000239999999999796,0.000410000000000466,9.99999999962142E-06,-2.99999999988643E-05
556.742423,-0.000259999999999039,0.000410000000000466,9.99999999962142E-06,-2.99999999988643E-05
591.943307,-0.000289999999999679,0.000410000000000466,9.99999999962142E-06,-4.99999999998835E-05
622.749839,-0.000159999999999272,0.000460000000000349,-9.99999999962142E-06,-2.99999999988643E-05
653.532255,-7.99999999987477E-05,0.000460000000000349,9.99999999962142E-06,-2.99999999988643E-05
683.375387,-7.99999999987477E-05,0.000550000000000495,9.99999999962142E-06,-4.99999999998835E-05
714.940333,-0.000449999999998951,7.00000000009027E-05,9.99999999962142E-06,-4.99999999998835E-05
745.713474,-0.00046999999999997,4.0000000000262E-05,-9.99999999962142E-06,-4.99999999998835E-05
776.411793,-0.00043999999999933,9.99999999997669E-05,9.99999999962142E-06,-4.99999999998835E-05
807.175040,-0.000420000000000087,0.00014999999999965,9.99999999962142E-06,-4.99999999998835E-05
838.095968,-0.000499999999998835,5.99999999995049E-05,9.99999999962142E-06,-4.99999999998835E-05
868.805727,-0.000420000000000087,5.99999999995049E-05,9.99999999962142E-06,-4.99999999998835E-05
914.924627,-0.000420000000000087,0.000210000000000932,9.99999999962142E-06,-6.99999999991263E-05
945.669014,-0.000370000000000204,0.000239999999999796,9.99999999962142E-06,-4.99999999998835E-05
976.394850,-0.000339999999999563,0.000270000000000437,9.99999999962142E-06,-4.99999999998835E-05
1007.076474,-0.000339999999999563,0.000379999999999825,9.99999999962142E-06,-4.99999999998835E-05
1026.420528,-0.000289999999999679,0.000379999999999825,9.99999999962142E-06,-6.99999999991263E-05
1056.924374,-0.000259999999999039,0.000379999999999825,9.99999999962142E-06,-4.99999999998835E-05
1091.019018,-0.000239999999999796,0.000460000000000349,9.99999999962142E-06,-4.99999999998835E-05
1130.108747,-0.000239999999999796,0.000489999999999213,9.99999999962142E-06,-4.99999999998835E-05
1152.134923,-0.000239999999999796,0.000489999999999213,9.99999999962142E-06,-4.99999999998835E-05
1191.705425,-0.000209999999999155,0.000519999999999854,9.99999999962142E-06,-4.99999999998835E-05
